"","FBCF","CIB","CURI","EMBI","ER","IBOV","ICE","ICI","IIE","IR","LTOT","NFSP","POUP","TT","WP"
"65",2.9407305008405,4.65738305743503,4.44851637594271,-1.28644902615017,4.45806132094988,4.10517659608089,4.7202829930886,4.7211738617444,4.57882621064849,6.15869378401603,1.15672994591515,-3.63,2.97819072574742,4.61857987289801,4.6224954935019
"66",2.94625125144815,4.65719321405524,4.44500143383527,-1.41040078191788,4.45399839818635,4.17710604779287,4.71849887129509,4.71939133007811,4.55492896955134,6.02627570449352,1.15443806625485,-3.61,2.98198072573526,4.60286753692542,4.62425837713641
"67",2.95746051834906,4.66372207293771,4.43793426661218,-1.58430193916256,4.4322443508345,4.265629747245,4.71849887129509,4.72738781871234,4.52504414150881,5.73025194165562,1.12802728345402,-3.6,2.98217468893063,4.65195834748685,4.61877060394347
"68",2.97279928506264,4.67981372898386,4.44029554279786,-1.63353546401316,4.4080598117207,4.20820031948663,4.73707525686803,4.74144780428064,4.52070102936164,5.6854610597775,1.11413437723475,-3.62,2.97637435487352,4.6710515551016,4.61744319121469
"69",2.98974776078133,4.65338875825857,4.44734610079452,-1.45970692295352,4.39518962120016,4.09050538381695,4.73356340075649,4.73444252169223,4.52612697864764,5.63128701701605,1.15071881358692,-3.72,2.96570403452461,4.68213122712422,4.61447838390517
"70",2.9970050246903,4.57759341821786,4.44500143383527,-1.44392347395653,4.38887810962298,4.01559077221444,4.75359019110636,4.73707525686803,4.50534985070588,6.35772817179994,1.37223402399119,-3.76,2.95510274025684,4.71160012960394,4.60567510780457
"71",2.99379641591089,4.62712735334013,4.43793426661218,-1.2413285908697,4.47289514667827,3.92384377314187,4.71312732749318,4.71760561531788,4.59208494643944,6.72000000000001,1.37279685760383,-3.85,2.94430316571003,4.69052185308759,4.59642944000186
"72",2.97989357721894,4.63443768366866,4.42962561347316,-0.711218580023467,4.60756731058781,3.64133769514496,4.61412992735956,4.6269316777696,4.88582764350291,6.81326942956488,1.39764146088578,-3.98,2.93012923247987,4.71411427297727,4.58398428097453
"73",2.96033728901726,4.59390699370938,4.4200447018614,-0.759849444410103,4.61174850134821,3.58097183769825,4.42843300748804,4.41037110768302,4.85359154448657,6.81455023968418,1.39280733161683,-3.69,2.90537340750223,4.66221192635529,4.55303259724759
"74",2.93543506325359,4.58476337621043,4.36564315542336,-0.737004078775354,4.67460296070343,3.62587974839238,4.31615389052317,4.30406509320417,4.8023803552758,7.32766761095374,1.40536113121029,-3.33,2.86762363948792,4.64727136200673,4.52242132541932
