"","as.yearmon(time(data.m))","FBCF","PIB","POUP","NFSP","TT","WP","ER","IR","IBOV","EMBI","LINF","LAGR","LIND","LCOM","LTOT","IIE","ICI","ICE","CURI","CIB"
"11",set 2003,181312.117734689,1113440.1616461,189462.048143971,-3.39511784552934,93.73,82.5690929719066,129.62,5.10682647212088,16094.4545454545,672.318181818182,611.61373356237,800.782738288513,488.882456037863,305.01276356046,2123.41656833374,94.5,94.5,94.3,78.9,89.66
"12",out 2003,182311.955815676,1123832.53447958,198756.948839308,-3.32869499878127,95.76,83.4388245854561,129.03,4.87804878048781,17781.6956521739,626.95652173913,748.360746759524,1309.39704735774,566.402145779278,307.485534059566,2980.23059446483,98.6,99.8,98.2,79.6,91.32
"13",nov 2003,183716.720359621,1130918.98243247,206368.618414941,-3.31618715568938,93.9,83.5042183253294,130.76,6.56638443523689,19012.15,567.649999999999,850.37847000309,3076.45611029702,441.238823678437,266.581474173041,5043.18074314574,96.9,102.1,97.9,79.9,94.54
"14",dez 2003,185429.015004809,1132196.93589966,209910.320592208,-3.23958666783218,94.63,84.3834246603682,133.07,6.96248856358646,21157.75,489.181818181818,961.543442332955,1379.68235159779,374.525180405075,279.794764214491,2933.15386492659,92.8,103.9,97.3,80.6,97.29
"15",jan 2004,187583.799542682,1128143.14951458,210309.933765283,-3.35973659373066,95.38,84.8058591501784,130.93,7.99368675146226,23412.9047619048,435.619047619048,615.83683023095,1380.37545730544,568.155216583728,246.788034626041,3054.67768526544,94.5,106.5,99.8,81.2,93.51
"16",fev 2004,192247.919625602,1130557.00942494,215531.408646266,-3.44074499764921,92.82,85.2755041558052,137.73,9.00740463023715,21969.6666666667,545.6,641.191019529646,2244.44444017028,595.8059847677,754.117439515297,4213.97266077472,90,105.9,102.8,81,97.12
"17",mar 2004,196735.242842901,1141801.94222248,221405.803757727,-3.42958666783218,94.12,85.1993264374916,135.51,9.72707526678629,22034.2019702015,555.608695652174,1027.41614807008,2138.33783587282,464.398956703756,304.516314597204,4039.60588034668,98.2,105.4,105.3,80.9,101.58
"18",abr 2004,200878.318587551,1159287.76580905,228967.109008991,-3.31422617647844,95.32,85.7870603201825,135.1,10.1653049591488,21696.6178573501,594.333333333333,2133.5344393731,1485.46789534305,590.121378455675,215.892230091348,4391.16896472754,101.9,105.9,106.4,80.8,103.32
"19",mai 2004,204704.195865977,1172980.53396601,230639.305150812,-3.33276555938472,96.96,86.0264987493236,142.57,10.0998573466476,18878.4761904762,725.809523809523,880.530660131187,705.82081479434,469.42705845216,193.619798356196,2213.20953242838,94.7,108.1,106.4,81,112.08
"20",jun 2004,208291.442467452,1180594.58663971,228005.963029744,-3.55300826413685,93.2,86.3479182095435,144.1,9.18348104846314,20222,668.545454545455,1695.69233000456,1111.89254098385,607.546031611699,190.342111104665,3765.16704324145,93.6,109.4,107.9,81.2,112.58
"21",jul 2004,211170.688056548,1182969.81064047,221538.456596672,-3.61973659373065,97.68,86.7634262820047,139.4,8.38872764722403,21743.2857142857,615.045454545455,988.161825474755,1002.63490760445,588.358719109289,161.725107018071,2856.46383751257,94.6,110.9,110.4,81.3,107.88
"22",ago 2004,212160.237733091,1186310.96614993,218376.674759448,-3.71579458396651,94.02,86.5661720988198,136.65,8.09852584437394,22267.5909090909,558.318181818182,1744.4352265742,695.295519682871,639.967931178273,212.893307715498,3236.88969474089,91.8,110.9,111.5,81.5,106.13
"23",set 2004,211123.986860437,1192639.12930828,217650.483424478,-3.61933057465994,94.48,87.2194494554033,131.58,8.80037488284913,22699.2857142857,488.863636363636,1948.59956084557,829.946551936789,834.512894327218,164.347978148113,3679.22764329973,93.6,112.3,112.8,81.8,104.61
"24",out 2004,207546.892532013,1196373.08222332,218600.18612902,-3.61555157981072,90.46,87.5980764050336,130.98,8.93692682013849,23366.75,468.190476190475,1325.28843244564,1462.50628807897,573.200128979734,277.934157704499,3686.29932822988,89.5,112.6,112,82.1,104.91
"25",nov 2004,203798.329990622,1195398.67296657,218446.717697816,-3.55511784552934,93.44,87.3616690207457,129.05,9.06378217083177,24045.7,438.727272727273,751.69034149042,1224.40766117675,596.998851786455,189.470155067943,2844.61185120669,91.9,110.5,107.1,82.5,103.13
"26",dez 2004,200283.013951965,1189925.49650187,217225.716468838,-3.67869499878127,92.68,87.8210213807212,126.88,9.20074349442379,25535.4761904762,397.95652173913,609.120884837538,1508.06072943916,467.422398364926,155.425610973247,2680.31062904737,89.8,108.7,102.8,83.1,101.43
"27",jan 2005,198178.886360463,1186062.32158833,216967.116205277,-3.78276555938471,94.14,88.6970619969313,124.02,9.79424634577786,24432.9,422.285714285714,1695.85341798402,2641.07811562957,458.456211806602,325.48250753812,5168.21429685207,93.1,107.1,101.3,83.6,101.11
"28",fev 2005,199801.074898047,1186458.37256353,218725.218880906,-3.59997724692932,93.72,88.8959890419095,120.05,10.3175342210634,26551.3888888889,405.15,1303.39175488481,1491.92723102358,410.972220956115,305.588870645812,3518.26479479044,90.8,104.9,102,83.3,98.34
"29",mar 2005,203484.214634676,1193294.28251795,221094.311927507,-3.70787001649395,93.79,89.0571319705918,125.3,10.6286033103961,27272.1456585174,422.318181818182,1027.36905543496,2123.69241586732,361.625007598776,306.432483857665,3911.65742518317,91.4,102.9,102.5,83,106.82
"30",abr 2005,208154.01081581,1201331.30502101,221981.389084511,-4.07487484137355,93.98,89.6196082450923,118.26,10.4099194966226,25886.5453748633,455.095238095238,1018.81340071705,1436.78424269901,365.215230473593,275.102854997887,3100.28546334062,98.3,101.9,101.7,82.7,99.86
"31",mai 2005,211276.241666431,1209376.76066708,222369.984492466,-4.04579458396651,95.86,89.4590330497436,111.64,10.6987505784359,24810.2857142857,436.136363636364,1414.6665925128,1952.14037227021,231.82339379741,320.875625165019,3754.75123920238,99.6,99.8,97.4,81.9,93.24
"32",jun 2005,212883.283740985,1216916.77050253,221410.481465194,-3.95933057465994,94.55,89.7597224253646,108.35,11.6341940896802,25431.2727272727,422.636363636364,1030.70038179186,2314.36591352945,412.679660684474,394.479142423468,4501.0940917239,100.4,97.2,95.5,81.1,90.22
"33",jul 2005,211661.17693287,1216901.65458536,218225.282755301,-4.00555157981071,96.77,89.827054104663,106.38,12.3393074974195,25254.6666666667,408.809523809524,2118.38132478715,1399.52733401054,318.402319653478,385.893825229322,4399.72277745091,99.8,95.5,95,80.3,88.68
"34",ago 2005,210711.483062976,1221588.52493228,217510.556137198,-4.01958666783218,94.54,90.1786096226232,106.82,12.9503867194869,27007.8260869565,401.347826086957,1334.56613039361,2098.74943354211,244.340595889787,468.467008675127,4086.29521217009,99.3,94.9,95.3,80.3,90.46
"35",set 2005,209435.578121818,1229870.80765887,218092.201158743,-3.97422617647844,95.01,90.4262963316484,104.03,12.7970577140702,29859.7619047619,375.636363636364,744.081643953067,1402.10506636798,266.428145486648,275.109108722199,2562.77643990638,95.4,96.1,96.4,80.4,90.96
"36",out 2005,207495.740604679,1237058.58941505,219839.49114257,-3.97276555938471,94.16,90.6938391174281,100.88,12.1192177510342,29844,371.809523809524,1048.90259299486,917.89168991397,246.114634582917,222.670047875438,2458.4197677496,92.3,95.2,94.8,80.5,93.09
"37",nov 2005,207577.992600043,1244378.53397802,221177.436094898,-3.87300826413685,95.84,91.5745869035793,97.21,11.9092449632838,31146.85,348.954545454545,1187.83006860664,2844.73637923154,295.7261662928,242.917404467825,4819.5767969606,97.4,95.7,92.6,79.9,91.8
"38",dez 2005,209949.471875115,1250339.30035152,221755.811498879,-3.74973659373066,97.49,91.9594369016543,100.9,11.8743495127259,33130.1428571429,313.565217391304,1678.4661048008,1978.86381027446,381.333606995705,212.947374603419,4226.01899902796,89.4,98,91.7,80.6,100
"39",jan 2006,213597.310498744,1250095.79896674,221153.541140275,-3.45579458396651,96.99,92.2678765399269,100.68,11.3055818353831,36189.4761904762,282.681818181818,1810.01313828428,839.325976077812,356.580465426052,524.16714573868,3393.80147879558,93.4,99.7,93.4,81.7,101.81
"40",fev 2006,217237.676215129,1250167.44551585,221026.748297924,-3.33997724692932,98.72,92.4690565500128,95.44,11.1553407259976,37550.7777777778,238.65,941.848440372972,1046.09259806477,332.852445296554,264.082326741139,2578.00769527663,89,100.3,97.5,81.1,97.57
"41",mar 2006,218462.992083741,1248549.30771055,220005.631463644,-3.27869499878127,96.45,92.8718287875187,95.29,10.843144701861,37966.8004380004,229.391304347826,971.417419656272,1368.94938968166,335.696093626001,268.036663819505,3032.42201180877,92.3,100.8,100.4,81.7,93.81
