"","as.yearmon(time(data.m))","FBCF","PIB","POUP","NFSP","TT","WP","ER","IR","IBOV","EMBI","LINF","LAGR","LIND","LCOM","LTOT","IIE","ICI","ICE","CURI","CIB"
"103",mai 2011,375542.198467421,1832906.11989213,345915.473677165,-3.11579458396651,129.29,103.476110293993,73.42,5.03988737681837,63730.9090909091,168.772727272727,4201.72322134481,4254.64781158776,791.751801338067,2132.98299596643,11352.4251756391,94.1,110,109.7,83.6,113.74
"104",jun 2011,378052.898608624,1839525.05322814,344718.604558189,-3.27933057465994,129.65,104.15383235036,72.38,5.05107300159311,62299.4761904762,171.227272727273,4036.11038652221,4340.77809843473,1225.0259116961,1909.08553649115,11703.4590562366,96.7,108.1,108.7,83.4,111.36
"105",jul 2011,380225.044740595,1838425.35276369,340150.148341789,-3.56555157981072,130.3,104.68141076211,71.76,5.03415364461497,60431.8095238095,162.142857142857,6802.6566774657,3100.47617882431,809.010979235984,2275.38874508059,13268.8418096562,96.3,104.9,107.8,83,110.25
"106",ago 2011,380961.965302668,1836932.39530139,338466.27399551,-3.52958666783218,130.66,105.233706570989,73.43,4.84006341508907,53841.4347826087,200.478260869565,4692.15861898999,3248.75044252719,931.729379290194,2347.09826520867,11130.9367839231,111.6,102.2,106.7,82.4,111.02
"107",set 2011,380258.436150982,1838581.6693581,339507.411287612,-3.06422617647844,132.65,105.251276877505,78.12,4.28664616531544,55399.2380952381,241.863636363636,4951.24806695406,3010.46412940109,869.809531055299,2800.12222494729,11624.4226963796,108.4,100.4,106.1,82.2,119.35
"108",out 2011,379289.05849591,1846834.88550829,345496.858442673,-3.10276555938472,132.52,105.193028652458,78.22,4.42180050481442,54669.25,239.666666666667,4381.18877956379,3533.44494569644,728.177168987785,2488.44015505996,11069.1382348647,105.2,101.7,105.1,82.4,115.74
"109",nov 2011,379745.325732094,1855449.24917933,350091.96820421,-3.13300826413685,128.22,105.491400706121,78.06,4.46361590397599,57093.6,229.5,5167.23847677733,4271.72050196744,719.24046352543,2661.15103716541,12419.9329277906,107,100.5,103.2,82.1,114.98
"110",dez 2011,382353.169016446,1866211.59438249,352449.439509455,-2.94973659373066,124.61,106.050886427138,79.39,4.13145539906103,57408.2380952381,218.909090909091,4065.50580363735,4046.27185532927,779.147639835224,3213.3594394492,11985.4921792185,105.7,101.1,101.4,81.8,113.62
"111",jan 2012,386635.92303873,1876863.67754841,352892.599488775,-3.13579458396651,122.79,106.267610179785,76.75,4.21766145735265,60841.5,221.772727272727,4812.22063247076,2363.48712757455,786.55061135635,2045.48467316984,9749.52811883838,102.8,103.5,101.8,82.3,114.48
"112",fev 2012,390584.310182163,1885320.89381194,351564.009533964,-3.19453708151487,120.41,107.071720356951,75.45,4.29853566367502,65449.8333333333,202.52380952381,5337.36948571492,2406.11806582663,767.198663561362,3052.88552704664,11587.8813285856,96.9,101.7,103.7,82.5,111.7
"113",mar 2012,393997.966102749,1892265.16173371,348248.567645408,-3.02973659373066,120.2,107.011161782725,79,4.35195743063475,66964.7774825288,178.318181818182,3914.14240397602,3737.30098762057,766.841491321336,2457.71460112193,11123.9869651416,95.4,101.4,105.4,82.1,114.1
"114",abr 2012,394388.355842986,1887581.83854975,341484.258462329,-2.9372551421325,121.02,106.71925126369,81.1,4.04376784015223,62250.1136286141,184.8,3927.99458607748,3601.38492593231,837.635588231774,2757.21062142191,11229.2920446539,97.8,101.2,105,82,113.8
"115",mai 2012,395472.117643493,1893126.7439501,339437.048562268,-2.75787001649395,122.66,107.236765856363,85.53,3.69559005619582,57136,212.173913043478,4168.89292129045,2735.92742527157,781.688983956753,3304.3246246454,11208.4409248048,101.6,101.5,103.4,82.3,115.6
"116",jun 2012,397099.280753316,1911012.9134642,342264.550143991,-2.52487484137355,122.86,107.038877756144,87,3.30728173846742,54665.25,218.380952380952,2732.43442112569,3225.09892967431,657.759181499168,2696.06623604339,9336.76976109601,106.3,100.8,102.4,82.1,115.24
"117",jul 2012,396370.405659817,1926579.91808895,347734.185589314,-2.36579458396651,122.66,107.261932254107,85.92,2.72813688212927,54617.1904761905,202.227272727273,2683.78615714584,7162.06819814718,981.336887694457,2988.4798374264,14099.2735267231,105.6,100.2,101.9,82.4,123.8
"118",ago 2012,396986.907507321,1937452.58930048,346588.547240099,-2.26869499878127,123.49,107.258883043564,86.89,2.48004561003421,58180.1739130435,170.913043478261,3779.94532677818,5170.26415520665,1236.91225990201,2989.10778004179,13154.9150306241,98.8,102.9,103.5,82.7,124.72
"119",set 2012,398402.872591846,1937683.92796105,338514.404247279,-2.08618715568939,121.52,106.951223128212,87.63,2.00417933130701,60057.2105263158,162.5,4924.5705943111,5105.40581395282,1127.25704064423,2839.23607319864,14039.3059352815,97.5,104.6,106.2,82.2,126.94
"120",out 2012,400812.631693076,1932548.83667863,321364.293228128,-2.06958666783218,120.74,107.264339952145,87.34,1.68800379326695,58591.2272727273,150.304347826087,4732.94522402881,4020.25553874394,1040.62592018741,3408.45118017799,13068.1723246813,96.3,106.1,105.3,82,125.61
"121",nov 2012,401961.674695638,1930049.60472774,315902.799661392,-1.80422617647844,119.45,107.430172770138,87.99,1.52563252155784,57223.0526315789,154.909090909091,3568.33760029561,3584.77178721514,1209.01536855579,3513.21638225929,11439.405555773,93.4,104.4,104.3,82.1,126.94
"122",dez 2012,400585.525573612,1928171.35142206,323006.498146765,-2.18276555938472,120.33,107.749115732197,88.5,1.24716553287982,59582.8333333333,147.15,6847.75366958386,3604.11542729282,1179.04503431095,7834.00637016566,19492.3796728556,94.8,106,102.3,82.8,128.75
"123",jan 2013,397892.399129285,1928977.25289057,341819.935767272,-2.22787001649395,121.2,107.708551392882,86,0.904380593499754,61533.5714285714,146.272727272727,4046.72429245757,5100.8825110653,1374.57925200385,3428.44904200961,13952.4642550479,95.6,106.7,101.9,82.3,126.11
"124",fev 2013,400544.560768614,1939620.62360209,354139.529643735,-1.93997724692932,120.67,107.904600542878,83.58,0.76192267895776,57877.8888888889,161.65,4096.80560895931,4832.89572138473,1848.79852524057,4662.67368708855,15752.8224473345,91.5,105.8,103.3,82.3,122
"125",mar 2013,408610.697573545,1958086.43571699,362373.281092897,-1.80555157981072,121.77,108.590305236108,82.97,0.525377615160871,55977.6425299721,179.95,4680.31753578304,7788.67874048162,1847.04809795797,4079.37563082671,19026.5447750669,92.6,105,104.3,82.4,120.11
"126",abr 2013,419990.956173588,1977495.77350887,363567.53454356,-1.76511784552934,119.47,108.899875231966,83.3,0.723072588975504,55561.723173565,175.909090909091,5920.9723659819,7601.7627176809,1985.18211952868,4234.3045268524,19975.9548272318,91.5,105.6,103.4,82.2,118.01
"127",mai 2013,427129.772697091,1992794.20313366,364635.907677521,-1.75869499878127,119.18,109.195777016149,84.33,0.863849765258218,55456.5714285714,176.95652173913,6468.85914789326,7069.63878314977,1721.85855544306,5980.28477468791,21408.9671898832,90.7,105.5,103.5,82.5,118.19
"128",jun 2013,428459.235519315,2000186.79426054,362381.002808638,-1.77618715568939,118.04,109.146341017453,90.18,1.12464854732897,49604.65,229.25,6551.56494451812,3099.82985307695,1333.79413966625,4129.95865865067,14900.5382469667,94.6,104.5,102.2,82.8,124.03
"129",jul 2013,424810.571840438,2005070.18775903,358161.202655696,-1.72958666783218,117.92,109.580271305649,93.45,1.8443587089489,47160.5,226.95652173913,4024.49230508569,3956.79087784867,1389.11294467157,4291.20569203809,13657.4547071838,93.8,100.8,98.9,82.9,126.62
"130",ago 2013,421374.936055576,2008703.06648787,357821.81094607,-1.65973659373066,116.29,110.176155275519,98.06,2.22452634555568,50062.0909090909,237.590909090909,6596.47973602238,3361.69527489967,1347.62871198263,3930.62108867415,14904.5849085844,88.7,101.5,101.5,82.8,131.71
"131",set 2013,419020.734773407,2015332.87669335,361655.533977741,-1.4572551421325,118.25,110.468721489891,94.79,2.87171736255432,53635.2380952381,228.809523809524,4753.39822246509,4102.91626885942,1358.82531424778,4704.22963919441,14989.3807099282,92.2,101.6,102.8,82.2,128.89
"132",out 2013,417010.544256565,2021581.27812923,371689.076678026,-1.27787001649395,119.59,110.647312782212,91.47,3.22184429327286,54171.8260869565,218.913043478261,5236.46269039412,3664.24445293424,1364.28896605845,4374.59754156755,14470.1555597421,90.7,100.2,100.9,82.4,125.28
"133",nov 2013,417724.342601609,2030523.52370302,374754.164084798,-1.94487484137355,117.89,111.234699365721,94.71,3.47924742365509,52815.6315789474,236.047619047619,4755.37939366552,4420.64019219896,1455.83004513832,3161.49172034349,13292.2348349595,85.1,99.8,99.5,82.9,129.23
"134",dez 2013,419674.613254026,2034193.14412508,367331.362829247,-1.74579458396651,118.14,111.384078677078,95.87,3.76734963648382,50748.9473684211,237.904761904762,4866.14022104901,4993.10852936617,1752.29150530223,4493.36032039462,15918.8595003952,85.1,100.3,98.2,82.9,132.85
"135",jan 2014,425479.064861842,2046221.5224095,353997.426991113,-1.49869499878127,120.63,111.687328881578,95.6,4.33753196325408,49139.7272727273,251.681818181818,8732.48696304105,6447.05031883564,1918.84511353371,4761.64289010173,21651.2869206074,89.3,99.8,97.2,82.7,135.37
"136",fev 2014,426208.712980326,2047355.42162327,344028.949563039,-1.54997724692932,116.58,112.212053246268,94.72,4.49470098410296,47367.9,253.8,6000.48398818137,5862.51056582218,1247.0685798405,4748.66749691845,18083.3577013887,93.9,98.2,98.1,82.6,140.49
"137",mar 2014,420484.294827387,2032955.32534056,334971.051058531,-1.57276555938471,115.54,112.365294581482,91.68,4.23928403203013,47295.6241329207,234.095238095238,6904.35683463958,4543.1639697204,1020.32481049534,5177.53222145629,18075.4253191295,96.4,97.7,99.1,82.6,140.66
"138",abr 2014,411222.623843566,2016727.39201698,329240.417767825,-1.64300826413685,114.75,112.532396961325,87.63,4.31878057960107,51199.3249502283,219.47619047619,6643.31556815521,3677.24339403319,1172.30322494222,5942.65799198306,17568.8870387057,94.3,96.8,97.2,82,136.79
"139",mai 2014,404288.687133479,2010749.53919839,326084.195923872,-1.37973659373066,116.89,112.671652628509,86.9,4.25871956378676,53122,209.272727272727,4667.53547147412,2637.4966428304,1176.94829129854,2552.70101066572,11346.2939532815,88.3,91.2,91.9,81.8,134.28
"140",jun 2014,399171.009650009,2014783.97267209,325858.841568384,-1.2572551421325,116.5,112.858562706265,87.05,4.11190386781826,53656,206.047619047619,4793.50243883525,3926.69264979048,1244.75524600233,4747.16792782801,14672.1604671572,93.3,88.3,90.1,81.6,133.55
"141",jul 2014,395948.942746229,2032511.47115144,329203.248431864,-1.07787001649395,115.27,113.371139781047,87.49,4.13145539906103,55790.4545454545,209.652173913043,5163.02238399121,3555.09442145427,1485.46255804645,3165.95563323835,13312.2903633355,90.5,87.8,90.5,80.7,131.3
"142",ago 2014,394024.029999466,2042492.57065274,328780.326723174,-0.825551579810715,115.23,112.912540034194,88.77,4.12167871561355,57748.6666666667,219.52380952381,5623.52888344891,4910.30916832707,1744.17610883406,3629.96247650286,15584.2533238069,96,85.6,89.9,80.6,129.87
"143",set 2014,393180.944610037,2040803.05804986,324564.997526878,-0.595117845529345,115.05,114.074743417584,89.59,3.88758782201406,58278.2272727273,214.454545454545,6909.32464941026,4672.27513393512,1651.93236045238,4325.58771500655,17540.1630769224,96.9,86.4,89.1,80.3,132.39
"144",out 2014,394718.443263128,2038581.58207933,317060.266790334,-0.48869499878127,112.58,114.065748663527,92.87,4.06229477436906,54342.8260869565,239.913043478261,5066.05740181016,5151.31933628452,1434.7854036486,4691.16038314013,16098.9957535541,97.3,87.6,88.6,79.9,139.28
"145",nov 2014,394926.616339228,2035249.02232704,312505.913115261,0.193812844310615,110.78,114.288061125205,94.97,4.30743243243243,53575.8947368421,247.5,4642.84336314145,3508.57944316305,1127.33171334383,4487.70318531706,13388.91705178,97.2,88,86.9,80.3,144.97
"146",dez 2014,392589.059681943,2028272.83183322,310970.655643946,0.560413332167822,110.19,114.878010263858,96.64,4.85856592425522,50007.5,265.181818181818,5592.77726410851,3148.87618332286,1517.49084769667,4154.70256261032,14455.0676157333,95,87.4,85.3,79.4,144.54
"147",jan 2015,387185.945173822,2012424.06875848,311956.540124478,0.530263406269345,106.21,114.563663871361,93.33,4.36811648310624,48369.380952381,288.714285714286,5317.1347615563,3933.39526023785,1277.02825089388,3080.48251740493,13472.494163911,99,87.5,84.5,79.2,137.64
"148",fev 2015,379821.086531448,1992102.93129556,306729.332072305,0.66002275307068,105.93,114.638534485746,98.77,4.13184772516249,50131.4444444444,308.95,4331.06436012341,4360.9396220038,1156.63248484773,2891.13099729041,12964.0045310087,97.4,86.5,82.3,79.1,143.96
"149",mar 2015,369996.094288604,1963694.02368241,296040.221603386,0.634205416033489,108.24,114.656979769005,106.96,4.1154166281328,50671.6549483401,328.136363636364,6312.97601109705,5409.90975406718,1338.34792283232,3656.49864281435,17098.7056257854,109.2,79.9,76.6,78.4,155.69
"150",abr 2015,360682.57724598,1943950.77409557,282932.551841088,0.76066942534006,101.1,114.819005002666,103.69,4.16936303965978,54209.3150000903,292.727272727273,4922.44174729681,2888.70607470574,1121.30165536651,2805.28503793655,11900.3299291474,103.6,77.9,76.8,77.5,151.96
"151",mai 2015,353114.865009367,1929100.24971883,274797.066438262,0.664448420189285,101.23,114.725844538994,104.13,4.31455702037429,55807.5,279.952380952381,4362.75586210217,4227.0968379494,1300.37899918147,2605.89894795141,12724.8735043679,105.1,75.7,75.3,76.5,153.7
"152",jun 2015,347096.964443192,1920499.79328409,272004.999638748,0.724882154470655,103,115.220033722585,105.07,4.30709890715399,53483.1428571429,291.818181818182,5515.62815382254,3371.56345458181,1620.18982203945,2814.32844567738,13397.3630354924,105.7,72.5,72.3,75.8,155.07
"153",jul 2015,341708.783126153,1919982.13676146,274688.445844693,0.87130500121873,104.02,115.477532350523,108.32,3.76962395034686,51559.5,317.434782608696,2648.59512242923,2688.29429298511,1010.76032880838,1962.83084956351,8294.05320945091,118.4,74.4,71.3,75.1,160.33
"154",ago 2015,337102.00203,1925661.36949897,276807.664036276,0.737234440615285,100.29,115.486874019872,116.79,4.2180224596001,47687.6666666667,334.619047619048,3275.59532490305,1966.11952320345,1033.26626129778,2016.05321170196,8004.68137966542,126.6,73.1,70.8,75.1,168
"155",set 2015,330573.751676462,1922156.37633718,276892.87839526,0.466991735863152,100.53,115.907242742221,129.34,4.25609644716411,46314.7142857143,405.409090909091,4267.84994157026,2585.43929499517,1082.97413383743,2074.74877010432,9938.95479701203,136.8,73.8,69.5,74.9,183.62
"156",out 2015,322186.399956799,1911142.40766042,275207.434798846,0.680263406269345,98.67,115.917782781604,127.47,3.83880651323569,47281.7619047619,412.863636363636,5403.54874928255,2288.13858668445,1021.60427494903,2131.44616556641,10580.7887154509,121,77,70.3,74.7,185.03
"157",nov 2015,314012.625716785,1896281.04487768,268565.088586184,0.852744857867504,102.31,115.761840191226,121.97,3.32186821144098,47088.4210526316,398.095238095238,4382.50926819025,2333.60568303598,1070.37060446121,2018.76431952534,9610.52233848391,112.9,75.7,70,75,176.15
"158",dez 2015,306654.677677601,1882158.83241302,258054.541519482,1.88212998350605,96.7,115.594613564411,122.1,3.14448359989157,44682.2,486.954545454545,4493.4158819749,2531.64461632314,812.835204487993,2706.65041573638,10772.3806822336,117,77,68.7,75.2,178.15
"159",jan 2016,299416.509892302,1862617.23524219,245353.174942879,1.75444842018928,97.09,116.559616821624,122.64,3.10721705356336,39390.1578947368,516.8,3097.95252817818,2381.04518542459,1048.73030136951,1611.15456568788,8134.73879226796,113.6,77.7,71.3,74.1,183.39
"160",fev 2016,296449.983762865,1853714.06152404,242385.163409296,1.92335333709263,96.25,116.333825932379,120.27,3.43421529539689,41025.3157894737,531.285714285714,2548.9588021207,2776.07422365928,1212.2396852491,1736.62792074147,8503.36654023871,115.5,75.6,70.6,73.8,180.54
"161",mar 2016,298569.154386248,1858504.70624464,247259.027137163,2.27212998350605,98.07,116.342620869235,112.65,4.35140323612759,48463.9788985814,435,2425.67658814221,2235.46243306694,1149.95553848843,1403.13699091868,7387.29031293214,123.3,75.8,71.2,73.8,170.41
"162",abr 2016,302908.84253141,1863165.94237027,256957.83580342,2.30512515862645,97.5,116.628018347794,110.04,4.45644216691068,52611.955369648,403.047619047619,3097.4234344738,1780.63677698248,1347.39093796701,1869.23686439837,8201.76450349656,128.3,77.9,71.7,74.1,164.72
"163",mai 2016,302926.57696539,1860557.11163896,261290.37162267,2.43420541603349,107.29,116.479854480412,108.67,4.41822173435784,51016.1428571429,388.636363636364,1784.59592992463,2265.59329506927,1198.67330878835,2116.73957419378,7522.13104019185,120.7,78.2,72.8,73.7,166.25
"164",jun 2016,299010.022873545,1859821.63734716,260416.455483027,2.50066942534006,106.87,117.147088518113,104.88,4.87872105843439,50161.2727272727,382.136363636364,2493.32797746939,2531.9445065028,1200.47162141137,1561.08667521358,7928.29599497245,119.7,81.5,74.4,73.9,166.98
"165",jul 2016,288919.017827282,1851609.13415936,253209.070304354,2.52444842018928,107.18,117.228847870919,99.55,4.97517013058673,55022,340.190476190476,2314.98664885413,3233.60883467344,1167.09769270113,1708.0924341376,8463.99462476442,117.7,85.6,78.2,74,158.77
"166",ago 2016,281326.46584161,1847773.99868972,247628.52595518,2.74041333216782,108.73,117.727251374376,98.17,4.75360190878222,57988.0434782609,309.652173913043,1042.49286279538,3737.76358509121,921.665099356638,1205.33064837916,6924.09852624803,112,85.8,81,73.9,155.61
"167",set 2016,277434.393439441,1855004.48756181,243623.194335958,3.00577382352156,109.16,117.803822755145,99.1,5.22676991150441,58424.5238095238,317.681818181818,2084.79878626322,2631.05083771897,1040.60264068519,1338.9777014408,7117.02893908516,110.7,88.6,83,74.2,158.33
"168",out 2016,274968.476818212,1861806.97124241,239295.703364039,2.20723444061528,109.55,118.366822573992,95.95,5.72911838323908,62477.4,312.761904761905,2088.0706687474,2301.3528884488,1055.74612842131,1121.42837999571,6478.92916421255,114,87.1,82,73.8,158.07
"169",nov 2016,273547.018393056,1868718.90073429,240927.657931043,2.54699173586315,115.26,119.187534251547,98.84,6.45854752780632,61619.4,330.636363636364,1915.09728598891,1698.21946439503,1138.20080941542,1739.12569153099,6380.485905971,116.2,86.8,80.2,73.9,166.76
"170",dez 2016,272202.303280607,1871010.92699576,248381.034815445,2.47026340626934,112.54,119.500601389486,97.55,6.92445197102269,59126.2380952381,330.681818181818,1793.18729886767,2407.83827926084,1408.31730215982,1235.79023884579,6631.81644886979,123.2,85.4,77.1,73.4,170.31
"171",jan 2017,271349.082025553,1869992.86524166,259685.95756421,2.29420541603349,117.82,119.414477219205,93.08,7.42287612719505,63533.619047619,298.181818181818,2154.03594503263,1498.81632463443,1222.27441684337,1419.39695119484,6502.07602852517,113.9,88.6,81.5,74.5,165.23
"172",fev 2017,271302.12033845,1869790.91234337,262837.12791377,2.37002275307068,115.98,119.714938291429,91.5,7.69377625047729,66444.5555555556,277.95,2859.54294975732,1334.16786788281,1322.34840740587,1815.02800275272,7517.1038068192,108.3,88,83,74.4,159.6
"173",mar 2017,272380.657582209,1871656.35457525,259847.692054041,2.34130500121873,116.2,120.191208029776,92.12,7.24873290618724,65371.8943198826,278.086956521739,2024.0785584304,1473.63570344113,1108.08888994477,1337.89970631739,6083.37159074006,111.9,90.4,85.4,74.2,156.07
"174",abr 2017,274331.811057609,1876037.35148135,252380.308649554,2.31381284431062,112.65,120.633487832265,93.26,7.21560338201384,64129.9164153528,268.684210526316,3089.43636138465,1644.92594393842,1105.93367221124,1397.75933972015,7337.42459492863,109.2,90.8,87.1,74.5,156.15
"175",mai 2017,275652.885825148,1875998.14768181,247020.420562181,2.46041333216782,109.29,121.152818691868,95.64,7.28764478764479,65117.0454545455,269.826086956522,2405.89552011837,1579.61167239112,1279.84483387408,1474.17864343853,7010.51267732328,116.6,91.5,86.1,74.4,160.04
"176",jun 2017,277304.669250965,1883852.30820543,246386.537490191,2.56577382352156,108.17,121.483798832983,99.23,6.94174757281552,62016.2857142857,288.954545454545,1829.67410694598,921.565794337191,1483.2811119722,1449.96800693948,5562.99265130164,124,89.1,83.3,74.2,159.74
"177",jul 2017,274651.354255247,1881509.78492071,247381.376253995,2.63723444061528,106.32,121.74178683919,97.45,7.10738973809757,64504.2857142857,276.4,2290.15471105966,1993.36368121102,1445.42621238093,1060.95986163602,6710.14736830524,119.8,90.6,84.8,74.5,157.57
"178",ago 2017,273670.772556132,1885620.55045594,250522.449625195,2.46212998350605,107.78,122.382479167296,97.36,6.52937731797774,68804.9130434783,271.652173913043,1498.87416079838,1120.28971263179,1245.0648580705,1052.29903944553,4740.29389146268,112.1,92,86.6,74.1,154.23
"179",set 2017,274677.686620143,1897130.92114406,256335.94599705,2.35512515862645,111.83,122.383708063496,97.51,5.66608152915933,74306.8,257.904761904762,2426.14921512393,886.389023801524,1090.67584788182,984.033983475248,5342.24720790709,107.1,94.1,89.6,73.9,157.54
"180",out 2017,276236.646246326,1908102.05921983,266300.805219813,2.83420541603349,112.48,122.527693397001,97.91,5.17039922103215,76115.8571428571,240.863636363636,1862.92804678459,1069.76473248601,1068.89379580044,988.797360953072,4995.34091011242,103.8,96.5,91.6,74.3,162.52
"181",nov 2017,277919.923733002,1918723.43999615,269429.566744122,2.30066942534006,110.11,123.585405545607,99.87,4.47470817120623,73231.55,247.954545454545,1913.40405456585,1085.57653914906,1077.68565624959,904.18082613809,4975.48432633082,103.1,99,91.6,74.7,171.15
"182",dez 2017,278267.557246667,1921707.03770361,262937.225259435,1.69444842018928,110.14,124.345987603002,100.99,3.93394851869839,73749.95,238.95,2416.07876460449,960.528094886985,1049.70466363711,1046.63305003035,5455.66357401656,106.1,100.1,91.5,74.9,169.65
"183",jan 2018,278659.574255471,1924059.41791864,250630.216545433,1.52041333216782,111.88,124.331232069556,99.48,3.92766867587011,80957.0454545456,225.954545454545,2077.12303838063,674.679848203306,910.928993152137,1481.46610595145,5308.14837025477,105.4,100.3,93.5,75,171.2
"184",fev 2018,279569.998655564,1924950.70095261,246878.899481132,1.46002275307068,111.17,124.735073347656,101.89,3.77285103072733,84706.0588235294,237.105263157895,1575.86363721875,701.373869212762,904.677524499789,900.48793956862,4200.25741104546,104.3,100.5,94.9,75.7,171.78
"185",mar 2018,282095.039173508,1930154.18138707,249598.062067989,1.61026340626934,110.5,124.879597255231,102.57,3.79820802493185,83966.7054914016,243.952380952381,1988.16386733236,959.519495903934,1176.7441487819,1012.13240960399,5256.59963559053,111.3,101.4,96.1,76.2,169.09
"186",abr 2018,285099.168990769,1933465.87613258,256107.348815148,1.7327448578675,108.77,125.262331467998,106.74,3.54223433242506,86278.1930993553,245.238095238095,1702.98091938066,1047.82518062931,1131.93633937087,858.053755118997,4748.68858105082,116.4,100.5,94.6,76.5,175.83
"187",mai 2018,291294.164333577,1935327.73055584,258431.49388421,1.44212998350605,108.91,125.127926437354,110,3.44157106747036,82295,267.260869565217,3436.42738986349,1213.15709906135,1142.25259675253,1476.21721384549,7683.55522653208,119.7,100.2,92.7,76.4,191.92
"188",jun 2018,297676.519991067,1922617.82088636,253550.129811913,1.32512515862645,109.7,125.106169415859,110.84,1.92547178848548,72680.7619047619,325.761904761905,1845.47364498793,1164.17969402371,1189.1553009892,1179.0072363914,5307.45415535933,127.7,98.2,89,76.1,197.93
"189",jul 2018,304941.230289237,1928212.59145363,245904.046071313,1.09420541603349,110.88,125.519478348882,111.84,1.83767228177643,76993.5714285714,293.636363636364,2648.29428499406,707.959120816632,1150.86029430971,907.064117808543,5276.81438045064,115.7,99.6,90.7,75.6,197.04
"190",ago 2018,308253.524659319,1942499.83750517,241280.633861148,1.24130500121873,108.64,125.940727210945,113.82,2.12112486802956,77800.4347826088,305.695652173913,2564.64002773933,1109.64818289553,1347.33035482011,998.579923997116,5795.07291420178,114.2,99.3,91.9,75.9,198.68
"191",set 2018,304435.713150342,1945421.20884065,236373.892299154,1.30381284431061,107.93,125.593624580592,116.32,1.78896010714629,77062.6842105262,320.7,1720.49038297236,1175.27989994675,1310.92106141299,805.628200467693,5073.05728510289,121.5,96.4,91.5,76.6,210.59
"192",out 2018,295785.468446213,1947575.91045393,232069.696713037,1.22041333216782,111.02,126.313727052625,106.32,1.75975516449884,84197.1363636365,267.347826086957,1311.00987702758,1423.56998235955,1551.99532183687,758.063045750937,5269.87914660044,110.3,95.2,91.7,76.2,197.73
"193",nov 2018,290881.345842868,1958457.73893385,230909.082870098,1.38577382352156,108.16,125.92731758201,106.72,2.25852955309949,87440.4210526316,262.681818181818,1925.32407013412,1199.21096329422,1280.0776953913,990.038657204631,5453.12728756646,111.7,96.3,95,75.3,192.92
"194",dez 2018,286658.348377703,1956986.56183817,232028.757253085,1.54723444061528,103.26,126.234980927147,109.46,2.55421686746988,87065.4444444444,269.95,4620.51460703971,860.529033265963,1251.16239614136,780.162737623103,7750.88251154948,113,95.5,94.8,74.8,193.73
"195",jan 2019,284253.922116929,1948467.32267554,235891.330296699,1.56212998350605,106.92,126.635680754371,106.18,2.5245712083253,94496.0476190476,252.181818181818,4252.2208435394,1662.93303191738,1366.10831635486,744.197331574047,8004.86448952733,111.5,97.7,98.1,74.4,186.91
"196",fev 2019,285553.925871786,1941763.82956328,239575.885165011,1.54002275307068,106.85,126.623948454698,105.64,2.41601694099529,96718.8000000001,240.45,3034.15777999151,1366.75264343788,1396.01578169216,543.498306792239,6550.61767010479,111.3,98.2,97.9,74.6,187.38
"197",mar 2019,290831.002831354,1935396.1452274,242463.305338966,1.41444842018928,109.05,127.378255212427,107.76,1.74029451137885,96930.3746986127,247.142857142857,2552.18152555299,661.633048527243,1130.78030447633,502.670400075141,4921.37129228558,109.2,97.1,95.6,74.6,192.19
"198",abr 2019,300627.364489488,1938779.74787782,246912.241634242,1.29488215447066,109.08,126.841827567542,108.96,1.39127120259195,94868.1255360738,250.818181818182,964.441295838462,562.721134824162,1286.00809777461,627.540202678021,3396.02468035301,117.3,97.7,95.1,74.6,195.13
"199",mai 2019,312447.206420162,1954091.58219655,250253.372661896,1.41130500121873,110.07,126.80918572984,110.69,1.66252627555896,94168.0454545455,259.086956521739,1869.97920676028,778.239018206799,1225.39457887048,348.207327344538,4434.69403788949,119.5,96.6,91.2,75.2,191.27
"200",jun 2019,322998.634168422,1974170.90414822,252600.990789637,1.41381284431061,112.34,126.118127006427,107.71,2.93121795491922,98992.8947368421,248.3,1634.40195329438,813.485148186534,789.831216639456,367.824853067743,3583.54220974718,119.1,95.5,90.8,75.1,181.86
"201",jul 2019,325568.593680271,1990176.93823188,251570.31082623,1.37041333216782,112.77,126.529216089077,106.95,3.08079829490409,103463.181818182,220.869565217391,1823.01353920099,503.165600319484,1028.85339796525,558.502376388999,3758.10763986175,108.4,95.1,92.6,75.4,180.49
"202",ago 2019,321580.131203636,2003639.96080934,250496.565181616,1.31026340626935,114.88,126.172194188992,110.62,2.38808856231267,100610,239.909090909091,3089.39264014639,490.608264461304,1401.62669244349,556.353009008389,5297.79231161756,114.2,95.9,94.1,75.7,180.99
"203",set 2019,311976.692475449,2012743.02540744,249288.391754837,1.2227448578675,110.82,126.056198872034,112.63,2.74079113616483,103539.952380952,235.333333333333,1338.58329067324,557.018916843338,1539.12637156615,489.288761477675,4062.94968678876,116.9,95.9,95,75.5,190.45
"204",out 2019,295045.850444738,2012977.79929983,245637.019781062,1.24212998350605,110,125.898456616959,112.09,2.76965086795398,104662.217391304,243.521739130435,1563.21837290901,427.784915564439,1536.42725771672,564.814544615756,4376.70187422,111.1,95.4,94.6,75.7,194.65
"205",nov 2019,288363.697605646,2006495.0788421,242085.261954116,1.21512515862645,108.41,126.596744019614,113.51,1.5783867531713,107691.210526316,237.761904761905,2798.82190915046,523.330118581662,1585.11436689265,674.522448974797,5856.93101796716,105.1,96.9,95.7,75.4,204.27
