"","FBCF","CIB","CURI","EMBI","ER","IBOV","ICE","ICI","IIE","IR","LTOT","NFSP","PIB","POUP","TT","WP"
"152",12.7535785805683,5.04387662787606,4.32809829264833,5.67613094332569,4.65462679470068,10.8871217964515,4.28082412916472,4.28358656186063,4.66060489287619,4.30709890715399,9.51336054501759,0.77,14.4674333357282,12.5138659224026,4.63472898822964,4.74684363698415
"153",12.7395892535699,5.07723419120075,4.31882055877009,5.76027238812694,4.68508980916396,10.8504917595662,4.26689632742025,4.30945594183905,4.7740687224499,3.76962395034686,9.04264515364874,0.859999999999999,14.4676719369289,12.522104527786,4.64458318834493,4.74907598593569
"154",12.7275860913084,5.12396397940326,4.31882055877009,5.81299271346878,4.76037745029047,10.7724280829967,4.25985900069967,4.29182836675573,4.84103250971008,4.2180224596001,9.00634249190414,0.74,14.4710308377361,12.5321804563974,4.60806598910012,4.74915687865419
"155",12.7093419861521,5.21286840471555,4.31615389052317,6.00489665830789,4.86244459601845,10.7432149927328,4.24132675257075,4.30135873160643,4.91852000518845,4.25609644716411,9.20275130432339,0.43,14.4694968451772,12.533994137606,4.61045619041733,4.75279023969796
"156",12.6867226040843,5.22051797409362,4.31348009213877,6.0231173601439,4.84788104279483,10.7638799167148,4.25277179881662,4.34380542185368,4.79579054559674,3.83880651323569,9.27433380318613,0.69,14.4638761829455,12.5272236459559,4.59178094886908,4.75288117068668
"157",12.662157534392,5.17133590478725,4.31748811353631,5.98669126835532,4.80377511285515,10.7597824122578,4.24849524204936,4.3267781604434,4.72650247115562,3.32186821144098,9.18906065341741,0.880000000000001,14.4561177186349,12.5025858451157,4.62800741989085,4.75153497880388
"158",12.63839045193,5.18262589205184,4.32015123095579,6.18817078290424,4.80484038111666,10.7073304910041,4.2297491992283,4.34380542185368,4.76217393479776,3.14448359989157,9.26434428674303,1.86,14.4485971046211,12.4591156807772,4.57161340245925,4.7500893596891
"159",12.6107542329631,5.21161503270874,4.30541553230204,6.24765595246839,4.80925323456356,10.5812712644549,4.26689632742025,4.3528552573736,4.73268350628705,3.10721705356336,9.00377306482432,1.74,14.4378854166296,12.4095026355635,4.57563838338205,4.75840287448985
"160",12.5981952718669,5.19595235987001,4.30135873160643,6.27529994486976,4.78973921532253,10.6219446134174,4.2570301444992,4.32545628318549,4.74927052996185,3.43421529539689,9.04318322467071,2.08,14.4326023558278,12.3939422926648,4.56694897316789,4.7564638679011
"161",12.6053901245553,5.1382072981193,4.30135873160643,6.07534603108868,4.72428566687825,10.7885830579403,4.26549281841793,4.32809829264833,4.8146204101703,4.35140323612759,8.90197732422541,2.25,14.4345676083138,12.4181096395122,4.58568150940423,4.75653946589979
"162",12.6200392320029,5.10424706271953,4.30541553230204,5.99905471637466,4.70084393605637,10.8706917012187,4.27249074760558,4.3554259528767,4.85437127162159,4.45644216691068,9.0039548697068,2.3,14.4366401383696,12.4579562821885,4.5798523780038,4.75898953962827
"163",12.6195928617086,5.11349267953596,4.30000279919529,5.96264410857249,4.68831576707476,10.8398973882331,4.28771595520264,4.35926964755127,4.79330812810349,4.41822173435784,8.89868048460519,2.48,14.4351610981732,12.4787114342101,4.67553544864866,4.75771833513795
"164",12.6033221998113,5.11787404476585,4.30271282795416,5.94577751777698,4.65281683945544,10.8229985483356,4.30945594183905,4.40060302024682,4.78498861256393,4.87872105843439,8.98823831079427,2.47,14.4351427610665,12.4739914343999,4.67161314253681,4.76343031204671
"165",12.5706156362305,5.06745661408942,4.30406509320417,5.82950568483291,4.60066003051021,10.9154883842359,4.35926964755127,4.4496852831477,4.76813901426623,4.97517013058673,9.05760460040505,2.51,14.4313877815771,12.446971293568,4.6745096640667,4.76412798909822
"166",12.5449427443639,5.04735287703142,4.30271282795416,5.73544964790857,4.58670066970443,10.9679921213508,4.39444915467244,4.45201900649392,4.71849887129509,4.75360190878222,8.85960546266583,2.74,14.4299584265922,12.4207769092661,4.68886774500966,4.76837051995929
"167",12.5326321066295,5.06468146251334,4.30676415017333,5.76105031011881,4.59612944133594,10.9754910089164,4.4188406077966,4.48413185761104,4.70682383971459,5.22676991150441,8.87392086188553,3.04,14.4343296228138,12.3997262883694,4.69281469584014,4.76902072192309
"168",12.5280733927148,5.0630379728893,4.30135873160643,5.74544221340884,4.56382722245371,11.0425601703314,4.40671924726425,4.46705688385846,4.7361984483945,5.72911838323908,8.78774901531228,2.21,14.4382683991794,12.3802795804471,4.69638106604148,4.77378846843573
"169",12.5249902155921,5.1165556530126,4.30271282795416,5.80101917218862,4.59350238112041,11.0287320350049,4.38452351487247,4.4636066216663,4.75531284441781,6.45854752780632,8.77443582058718,2.52,14.4420264247574,12.3865035681336,4.74719044600852,4.78069817073593
"170",12.5205177290913,5.13762030585074,4.29592393562047,5.80115663868138,4.58036506706912,10.987430065875,4.34510328056928,4.44734610079452,4.81380905109942,6.92445197102269,8.78005629399482,2.48,14.4430937327138,12.4234056938963,4.72330871400513,4.7833214039069
"171",12.511954234425,5.1073384426629,4.31079912538551,5.69770342857982,4.53345933843409,11.0593244786009,4.40060302024682,4.48413185761104,4.73532087045314,7.42287612719505,8.77894089798132,2.33,14.441994244214,12.4694233160879,4.76915803609354,4.78260044335043
"172",12.5085204594295,5.07267068501571,4.30945594183905,5.62744124139948,4.51633897228148,11.104123127836,4.4188406077966,4.47733681447821,4.68490515400694,7.69377625047729,8.92049183933414,2.33,14.4409963762435,12.4868456081659,4.75341776244829,4.78511340253363
"173",12.5127770194443,5.05030462455446,4.30676415017333,5.62793385802469,4.52309207495248,11.0878451722987,4.44734610079452,4.50424426739813,4.71760561531788,7.24873290618724,8.71577052331625,2.33,14.441005932903,12.4724469999479,4.75531284441781,4.7890838749149
"174",12.5246194489268,5.05081708372909,4.31079912538551,5.59353675143233,4.53539129138017,11.0686687710963,4.46705688385846,4.50865928560725,4.6931810633108,7.21560338201384,8.89650073877061,2.28,14.4426557531126,12.4420871547577,4.72428566687825,4.79275692263245
"175",12.5281518353166,5.07542378398903,4.30945594183905,5.59777762907918,4.56059114259012,11.0839416288631,4.45550941143368,4.51633897228148,4.75874927391639,7.28764478764479,8.8173048708365,2.46,14.4426059170141,12.4169381065783,4.69400489968858,4.79705271312369
