"","date","FBCF","PIB","POUP","NFSP","TT","WP","ER","IR","IBOV","EMBI","LINF","LAGR","LIND","LCOM","LTOT","IIE","ICI","ICE","CURI","CIB"
"1",2002-11-01,200526.604352883,1090537.76190745,154833.97134722,-3.31,93.09,80.9194191651387,158.26,9.30316415757684,10030.3,1688.14285714286,1180.21139755368,1037.32303864508,110.893401393426,210.399759247421,2525.67688726327,127.7,97.4,93.6,78.6,101.27
"2",2002-12-01,199268.200540348,1081839.07099194,159883.96628803,-3.19,89.3,79.5226585804188,158.7,9.3308451079712,10840.5789473684,1518.14285714286,1226.69175921379,995.580783049719,790.643168660898,184.587391182068,3051.14062936812,125,99.9,93.8,79.6,104.56
"3",2003-01-01,195137.00902532,1074137.18459642,168844.24794119,-3.24,91.75,80.6191032221515,149.36,9.25133222678429,11486.2272727273,1317.09090909091,427.592181926087,1528.96576261552,149.541239613974,231.227634897624,2475.5291013051,118.4,102.9,97,80.6,101.45
"4",2003-02-01,191656.689945973,1070971.89971412,175298.880636343,-3.35,90.01,81.2967990345576,160.19,8.48511005610701,10350.05,1293.15,1274.22238858007,943.022275195964,187.384764836411,403.049551581856,2816.48107484894,112.4,99.9,96.9,80.3,109.05
"5",2003-03-01,185911.482608011,1066549.68352191,173585.091044072,-3.33,92.49,81.6823523579826,152.85,8.36407308913099,10975.205567528,1090.33333333333,699.232103899508,866.9059857172,241.95936509439,215.274086545764,2124.4870994853,108.8,97.2,96.8,80.1,100.18
"6",2003-04-01,178853.551930927,1061893.49213656,166735.765337821,-3.57,92.16,81.3481802169384,138.14,8.17847049755929,12022.831223977,899.095238095238,476.003479250477,807.825746275974,283.508548891231,216.4022920455,1847.20775809502,98.9,94.9,94.5,79.9,90.84
"7",2003-05-01,173779.982736306,1065119.38067462,163416.104021379,-3.61,93.59,81.1997694181139,133.03,7.73626748549983,13091.4761904762,783.863636363636,700.92827790916,983.347126694035,354.33646184994,262.343997067353,2339.58324300444,113.6,90.9,88.3,79.2,87.33
"8",2003-06-01,172563.031247471,1081693.56329137,166244.479305886,-3.42,94.43,81.3039385201928,130.28,8.16676674959251,13491,755,683.065319656571,1472.04430239648,409.114998972134,350.528950393137,3091.72569271625,103.6,86.3,84.2,78.3,83.96
"9",2003-07-01,173054.854026391,1098177.66749527,171672.088174343,-3.42,94.83,81.8494639981623,129.2,8.60261630425365,13549.9090909091,781.391304347826,1355.30071403691,668.997638362147,549.128928713018,261.549680319522,3013.76225978211,111.4,82.3,81.3,77.6,85.02
"10",2003-08-01,175184.339117579,1112248.91299522,178157.169967176,-3.55,93.57,81.8649223949465,132.84,7.32597549317804,14008.4285714286,780.285714285714,398.720913800688,592.874723561817,493.8467098001,218.794326085888,1549.05203198327,105.9,87.8,87.7,78.2,90.1
"11",2003-09-01,178563.616380564,1119268.44142285,186147.613324459,-3.35,93.73,82.5690929719066,129.62,5.10682647212088,16094.4545454545,672.318181818182,611.608030277976,800.782738533954,488.882424366371,305.012763569677,2142.8796075137,94.5,94.5,94.3,78.9,89.66
