"","FBCF","CIB","CURI","EMBI","ER","IBOV","ICE","ICI","IIE","IR","LAGR","LCOM","LIND","LINF","LTOT","NFSP","PIB","POUP","TT","WP"
"28",153856,99.9433333333333,81.9,215.092307692308,102.696666666667,37.2693548387097,86.5333333333333,86.1666666666667,127.466666666667,6.98462503922184,118932.366666667,28102.57,12482.4066666667,81402.3566666667,240919.666666667,-1.37666666666667,815620,140177,107.226666666667,94.9605837116592
"29",134945,93.9266666666667,77.2666666666667,252.378787878788,99.4233333333333,39.7169836065574,78.1333333333333,76.7333333333333,123.066666666667,6.4061761462108,119011.691813333,34139.5917933333,13736.69339,93506.1048433333,260394.10184,-1.40333333333333,756127,116969,98.5866666666667,89.3783639484909
"30",147362,89.62,77.9,479.650793650794,90.89,49.4343606557377,90.8,88.8666666666667,112.666666666667,4.84264570722277,118250.833333333,40266.8233333333,15721.3933333333,97623.79,271862.833333333,-2.07,803577,130991,101.29,90.4168959244937
"31",172382,86.07,79.3,430.809523809524,83.79,55.914125,102.5,101.433333333333,108.266666666667,4.18582375478926,102598.83,45951.1133333333,16144.96,98865.0266666667,263559.933333333,-2.02333333333333,852843,145243,103.616666666667,92.9114748634922
"32",181988,88.61,81.8,325.046875,79.43,65.9995833333333,108.033333333333,111.166666666667,102.466666666667,4.23728813559323,143500.233333333,48014.2533333333,17148.75,98172.2966666667,306835.533333333,-2.18,920492,152494,109.24,95.3341557418681
"33",177984,94.7866666666667,82.7666666666667,254.712121212121,79.9566666666667,67.9746666666667,112.2,114.766666666667,101.366666666667,3.61104930226646,140452.095233333,47863.3249,17825.2616266667,94074.6140433333,300215.295806667,-2.53333333333333,886397,148084,112.783333333333,97.6355295125038
"34",193393,89.15,84.0666666666667,217.538461538462,77.08,65.1533709677419,114,115.466666666667,100.533333333333,4.04033997209183,139260.348913333,46079.2945533333,16692.49829,91293.3064666667,293325.44822,-2.79333333333333,944145,173742,115.633333333333,99.5988406977745
"35",214814,93.5733333333333,84.0666666666667,206.032258064516,76.2766666666667,66.177328125,113,113.366666666667,97.8,5.68851779852766,131824.194056667,43156.75808,17415.2684,89573.0037166667,281969.224256667,-3.11333333333333,997935,190972,123.243333333333,100.609902201857
"36",211755,108.533333333333,84.0333333333333,213.40625,74.8866666666667,69.8273114754098,111.666666666667,112.633333333333,98,4.81151733282819,70986.31647,44115.8378566667,16979.9045466667,91193.7982666667,223275.857133333,-3.37333333333333,1057370,178566,127.126666666667,102.155727587864
"37",209987,123.156666666667,83.2666666666667,213.939393939394,74.21,67.8265245901639,109.3,111.6,96.7666666666667,4.81935281181276,71078.205,48800.0574766667,16255.3107466667,92982.6529233333,229116.226143333,-3.07,1016531,190172,127.833333333333,103.399189299971
"38",220962,115.23,83.5,180.818181818182,72.67,64.378,110.2,109.9,95.9666666666667,5.00046908715639,69821.00375,50719.5246333333,16321.1851366667,92059.91075,228921.624266667,-3.08333333333333,1086712,213918,128.676666666667,103.433562594191
"39",237137,113.54,82.5333333333333,172.484375,74.4366666666667,56.4739230769231,106.866666666667,102.5,105.433333333333,4.71982825674373,71464.0669766667,53949.6219166667,15386.57657,83592.1803466667,224392.445773333,-2.74,1112334,215713,131.203333333333,105.055464736868
"40",233842,114.78,82.1,170.625,78.5566666666667,56.4070491803279,103.233333333333,101.1,105.966666666667,4.33913342288588,78310.18414,55863.5205766667,16611.19949,78182.2965933333,228967.2008,-2.24333333333333,1160805,193720,128.45,105.578438595239
"41",233275,113.426666666667,82.3,202.075757575758,77.0666666666667,64.3401,103.633333333333,102.2,98.3666666666667,4.28918092716901,78037.0265833333,70798.8945933333,19047.0750033333,82326.11255,250209.108733333,-2.00666666666667,1129474,213954,121.133333333333,106.78349743982
"42",244239,114.88,82.1333333333333,229.2,84.5433333333333,58.0948387096774,103.6,101.166666666667,101.9,3.68242278022919,90593.5648366667,76465.4081533333,23119.25432,84166.9702433333,274345.197553333,-2.01666666666667,1183126,223924,122.18,106.998298292066
"43",259597,125.153333333333,82.4333333333333,200.846153846154,86.8133333333333,57.5586031746032,103.866666666667,102.566666666667,100.633333333333,2.404028886355,89841.3502766667,82500.58937,25720.49023,94775.9251633333,292838.355043333,-1.76666666666667,1230449,231607,122.556666666667,107.157346141961
"44",260349,127.1,82.3,205.65625,87.9433333333333,58.4531525423729,103.966666666667,105.5,94.8333333333333,1.48664857016603,83315.4696766667,86752.4642333333,26597.7594666667,97714.9395833333,294380.63296,-1.60333333333333,1271712,181025,120.173333333333,107.481209484827
"45",256607,122.74,82.3333333333333,178.923076923077,84.1833333333333,58.8129661016949,103.166666666667,105.833333333333,93.2333333333333,0.730293057514508,87606.6306666667,77669.09956,28124.89283,96104.2727666667,289504.895823333,-1.65333333333333,1241614,231880,121.213333333333,108.067819057289
"46",279535,120.076666666667,82.5,150.892307692308,85.9366666666667,53.3553333333333,103.033333333333,105.2,92.2666666666667,0.904000750727252,78536.4875766667,78569.6513433333,25367.3329866667,100309.5416,282783.013503333,-1.55333333333333,1322580,256422,118.896666666667,109.080664421856
"47",291365,129.073333333333,82.6333333333333,162.096774193548,95.4333333333333,50.2344153846154,101.066666666667,101.3,91.5666666666667,2.31286531330526,74240.1175033333,74818.7691,24206.7818166667,95597.5993133333,268863.267733333,-1.42666666666667,1354134,256755,117.486666666667,110.07504935702
"48",287437,129.12,82.7333333333333,192.692307692308,94.0166666666667,52.683262295082,99.5333333333333,100.1,86.9666666666667,3.48954396573444,76145.1325966667,73240.1792033333,24621.4898733333,96119.1899233333,270125.991593333,-0.83,1413291,221978,118.54,111.08869694167
"49",287396,138.84,82.6333333333333,231.090909090909,94,47.9069508196721,98.1333333333333,98.5666666666667,93.2,4.3570033394241,67914.9108966667,70969.2618233333,22702.1890233333,93755.1414766667,255341.50325,0.0733333333333333,1385980,240182,117.583333333333,112.088225569776
"50",282407,134.873333333333,81.8,230.584615384615,87.1933333333333,52.7404166666667,93.0666666666667,92.1,91.9666666666667,4.22972083842466,65995.0320566667,63914.3024633333,22318.24065,87929.21286,240156.788026667,0.61,1422320,243977,116.046666666667,112.687537432033
"51",289656,131.186666666667,80.5333333333333,246.492063492063,88.6166666666667,57.2651230769231,89.8333333333333,86.6,94.4666666666667,4.0467850888166,62753.0659766667,57401.4373766667,21800.6067133333,83215.02108,225170.13115,0.716666666666667,1462126,250676,115.183333333333,113.452807744275
"52",288993,142.93,79.8666666666667,211.5625,94.8266666666667,52.7093064516129,86.9333333333333,87.6666666666667,96.5,4.40918763299538,52423.7372733333,47566.3475033333,19460.31386,75171.3541233333,194621.752756667,0.676666666666667,1508527,196789,111.183333333333,114.410606684197
"53",277308,145.763333333333,78.9,214.393939393939,99.6866666666667,49.6235737704918,81.1333333333333,84.6333333333333,101.866666666667,4.20472489704926,45940.21608,37707.8962266667,17342.2695166667,68404.0408966667,169394.422716667,1.14333333333333,1456671,230801,106.793333333333,114.619726042037
"54",267004,153.576666666667,76.6,250.8,104.296666666667,54.577262295082,74.8,75.3666666666667,104.8,4.26381593094338,38643.7460233333,32487.8258133333,16773.5720866667,59160.79028,147065.934196667,2.02333333333333,1479981,225856,101.776666666667,114.921627754748
"55",270304,170.65,75.0333333333333,308.904761904762,118.15,48.568109375,70.5333333333333,73.7666666666667,127.266666666667,4.08119788179437,36094.48268,29114.46611,15909.8570133333,50494.55317,131613.35897,2.41666666666667,1508227,231704,101.613333333333,115.623883037539
"56",254781,179.776666666667,74.9666666666667,288.292307692308,123.846666666667,46.3540166666667,69.6666666666667,76.5666666666667,116.966666666667,3.43421529539689,36889.5291533333,25949.8804833333,15670.1993266667,41552.8244466667,120062.43341,2.76333333333333,1550909,182031,99.2266666666667,115.758078845747
"57",240650,178.113333333333,73.9,352.227272727273,118.52,43.4954166666667,71.0333333333333,76.3666666666667,117.466666666667,3.62827573685167,34690.3733333333,21537.02,16563.0433333333,30207.4366666667,102997.866666667,2.40333333333333,1500226,203882,97.1366666666667,116.412021207746
"58",247838,165.983333333333,73.9,433.169230769231,107.863333333333,50.9830158730159,72.9666666666667,79.2,122.9,4.58404593207917,32316.9344616667,20723.5038293333,16311.9552503333,29658.919893,99011.3001003333,2.33,1558992,236740,103.886666666667,116.751653782106
"59",246622,157.57,74.0333333333333,493.063492063492,98.94,57.1708,80.7333333333333,86.6666666666667,113.466666666667,4.98482479536466,27309.020308,19283.845492,16689.955307,29299.1736676667,92581.9947743333,2.44666666666667,1577187,225778,108.356666666667,117.586640666813
"60",238162,165.046666666667,73.7,391.092307692308,97.4466666666667,61.0424098360656,79.7666666666667,86.4333333333333,117.8,6.36774093102912,21322.0237666667,17919.6830476667,17074.0221976667,29566.2654433333,85881.994456,2.47666666666667,1632924,173321,112.45,119.018319405008
"61",230572,160.3,74.3666666666667,322.045454545455,92.2333333333333,64.9331612903226,83.3,89,111.366666666667,7.45519257658573,16652.15191,16355.5194533333,16055.4816233333,30326.63557,79389.7885633333,2.27333333333333,1585969,231354,116.666666666667,119.773541180137
"62",233263,158.643333333333,74.3666666666667,324.876923076923,96.0433333333333,63.8583114754098,85.5,90.4666666666667,116.6,7.14883481395647,15027.35132,15115.157308,15582.5131383333,28851.3112276667,74576.3329943333,1.52,1630936,235772,110.036666666667,121.090035119039
"63",245492,156.446666666667,74.1666666666667,284.846153846154,97.44,69.113109375,87,92.2333333333333,113,6.43463000877449,13767.8925313333,14365.427515,14765.923636,29596.5323413333,72495.7760233333,1.5,1648571,233918,108.643333333333,122.169324689994
"64",249451,167.773333333333,74.6333333333333,276.0625,99.59,74.3944754098361,91.5666666666667,98.5333333333333,104.333333333333,4.52585508186092,13666.846164,13805.427241,15520.24018,29122.478755,72114.9923403333,1.21,1720002,193560,110.91,123.48636218187
"65",245211,170.69,75.6333333333333,268.625,101.313333333333,83.5032833333333,94.8333333333333,100.733333333333,107,3.8329333938647,14177.7447943333,12630.5201076667,16616.1182866667,34888.0038256667,78312.3870116667,1.39666666666667,1680867,226558,111.183333333333,124.648634224148
"66",252748,188.56,76.3333333333333,242.703125,109.193333333333,80.0026507936508,92.1,99.6333333333333,121.266666666667,2.96442050256442,13965.4341566667,11135.5965146667,16987.3558593333,35331.629087,77420.0156206667,1.48,1733453,254363,109.126666666667,125.165475773737
"67",285425,202.103333333333,76.0333333333333,235.467741935484,113.993333333333,77.3089841269841,91.3666666666667,98.4333333333333,117.133333333333,1.91570881226053,12598.941002,8952.71863533333,16455.555479,33047.543007,71054.7581236667,1.37333333333333,1768337,237013,109.15,125.684610046806
"68",274025,194.793333333333,75.4333333333333,279.046153846154,107.5,86.1166610169492,93.8333333333333,95.6666666666667,111.666666666667,2.18978102189782,10375.969097,7828.039155,16816.2320686667,33139.4744813333,68159.714802,1.31333333333333,1821484,170985,107.48,126.158675187261
"69",262807,188.826666666667,74.5333333333333,306.230769230769,106.526666666667,95.8367118644068,97.2,97.6666666666667,110.666666666667,2.22578062449961,8651.438669,6429.01759833333,16546.5585696667,24071.7412846667,55698.756122,1.09,1765633,228455,107.606666666667,126.879294807165
"70",279733,189.42,74.9666666666667,266.569230769231,109.12,96.0535967741936,92.3666666666667,96.6,118.633333333333,1.99060612838293,8331.70682366667,6936.69517133333,15827.9731436667,23022.841236,54119.2150413333,0.78,1834366,257681,110.496666666667,126.589713434603
"71",306151,183.976666666667,75.5333333333333,246.777777777778,110.066666666667,102.522292307692,93.9,95.6333333333333,113.166666666667,2.7363184079602,9429.55927566667,9538.77368166667,15760.050608,26864.3047766667,61592.688342,4.09666666666667,1884003,257452,112.823333333333,126.252536383368
"72",285508,201.486666666667,75.4,252.969230769231,112.47,108.122147540984,95.4333333333333,97.2333333333333,109.533333333333,1.53166516187282,11101.947977,10446.0561843333,16936.1247436667,26797.7026473333,65281.8315523333,8.17333333333333,1923021,184328,108.8,126.502113007134
